quad-pin-2908-2-compl.png
DAT1.0
717
0 <170,191> 3 14 22 38 
1 <174,196> 3 22 23 38 
771 <119,120> 1 1052 
2 <174,200> 3 23 36 38 
772 <114,123> 1 1052 
3 <168,204> 3 36 38 829 
773 <125,119> 2 1052 1058 
4 <161,203> 3 38 826 829 
5 <167,212> 3 36 829 852 
6 <171,216> 3 36 852 853 
7 <162,220> 3 851 852 853 
8 <175,174> 3 14 50 875 
9 <175,181> 3 14 22 50 
10 <167,174> 3 14 875 880 
11 <161,181> 3 14 823 880 
12 <129,161> 3 15 850 934 
13 <164,190> 3 14 38 823 
14 <122,178> 3 854 859 969 
15 <182,179> 3 22 47 50 
16 <179,168> 3 50 834 875 
785 <312,264> 2 1000 1062 
17 <187,183> 3 22 28 47 
18 <187,190> 3 22 23 28 
19 <192,193> 3 23 28 39 
20 <190,198> 3 23 35 39 
21 <182,202> 3 23 35 36 
22 <244,161> 3 24 923 1023 
23 <180,118> 3 37 837 838 
24 <197,192> 3 28 39 801 
25 <199,188> 3 28 58 801 
26 <199,178> 3 28 58 297 
795 <301,272> 3 441 1060 1062 
27 <194,178> 3 28 47 297 
796 <315,268> 1 1062 
28 <330,202> 3 956 1110 1111 
29 <202,198> 3 39 801 1012 
30 <208,197> 3 801 844 1012 
31 <196,203> 3 35 39 1012 
32 <196,207> 3 35 1011 1012 
33 <185,211> 3 35 36 1011 
34 <184,216> 3 36 831 1011 
803 <170,160> 3 867 868 875 
35 <302,262> 3 441 950 1000 
804 <163,163> 3 865 867 875 
36 <186,107> 3 835 838 881 
37 <160,195> 3 38 823 826 
38 <230,107> 3 718 839 849 
807 <227,187> 3 857 858 864 
39 <241,103> 1 856 
808 <218,195> 3 844 845 857 
40 <202,175> 3 58 59 297 
809 <217,201> 3 844 845 1043 
41 <265,133> 3 42 52 54 
42 <200,165> 3 59 191 297 
811 <168,239> 3 982 988 989 
43 <190,162> 3 46 191 834 
812 <170,250> 3 924 987 988 
44 <185,168> 3 46 50 834 
813 <148,254> 3 986 1031 1034 
45 <186,172> 3 46 47 50 
814 <152,248> 3 986 989 1031 
46 <268,183> 3 48 922 1092 
47 <178,147> 3 56 846 847 
816 <199,120> 3 827 828 830 
48 <180,157> 3 834 846 868 
817 <157,248> 3 986 988 989 
49 <177,162> 3 834 868 875 
50 <239,122> 3 132 190 955 
819 <243,308> 3 460 821 1044 
51 <212,192> 3 801 844 857 
820 <229,318> 2 821 1041 
52 <209,185> 3 58 801 802 
821 <191,117> 3 830 835 837 
53 <210,178> 3 58 59 802 
822 <154,174> 3 842 865 973 
54 <171,146> 3 56 843 847 
55 <250,109> 2 131 503 
824 <156,213> 3 829 848 852 
56 <218,168> 3 26 40 59 
825 <197,115> 3 828 830 835 
57 <207,161> 3 40 59 191 
826 <200,110> 3 828 832 835 
58 <272,116> 3 60 77 1079 
59 <159,126> 3 79 967 968 
60 <224,192> 3 845 857 858 
61 <218,172> 3 26 59 802 
830 <176,218> 3 36 831 853 
62 <227,177> 3 25 802 864 
63 <222,183> 3 802 857 864 
